Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Extracted_Features
AAS,100,41758,Intro Asian American Studies,10,15,3,1,0,0,1,0,0,0,0,0,0,0,1.89,1
AAS,100,47100,Intro Asian American Studies,7,12,1,5,1,0,0,1,1,0,0,0,0,0,1.68,1
AAS,100,47102,Intro Asian American Studies,6,4,6,3,1,1,0,0,1,0,0,0,0,0,1.61,1
AAS,100,51248,Intro Asian American Studies,9,6,7,3,1,0,2,0,0,1,0,0,0,0,3.61,4
AAS,100,51249,Intro Asian American Studies,4,18,2,1,3,0,1,0,1,0,0,1,1,0,3.51,4
AAS,100,51932,Intro Asian American Studies,2,15,3,0,3,2,1,2,1,0,0,0,0,0,3.49,4
AAS,246,66200,Asian American Youth in Film,0,27,4,0,1,0,0,0,0,0,0,0,0,0,3.93,4
AAS,258,58913,Muslims in America,0,22,5,1,0,0,0,0,0,0,0,0,0,1,3.92,4
ABE,100,31263,Intro Agric & Biological Engrg,0,30,0,0,11,0,0,1,0,0,0,0,0,0,3.69,4
ABE,223,58927,ABE Principles: Machine Syst,1,28,2,1,6,2,0,0,0,0,0,0,0,0,2.75,4
ABE,224,58931,ABE Principles: Soil & Water,1,33,9,3,2,0,0,0,0,0,0,0,1,0,0.78,0
ABE,430,64779,Project Management,0,104,7,0,1,0,0,0,0,0,0,0,1,0,3.94,4
ABE,466,31280,Engineering Off-Road Vehicles,3,6,8,7,2,0,2,0,0,0,0,0,0,0,0.55,0
ABE,488,57478,Bioprocessing Biomass for Fuel,6,14,4,2,3,0,0,0,0,0,0,0,0,0,3.8,4
ACCY,200,29670,Fundamentals of Accounting,4,93,57,32,57,22,20,17,4,3,4,2,1,0,0.26,0
ACCY,201,36478,Accounting and Accountancy I,8,4,8,3,4,3,3,2,3,0,3,0,1,0,3.01,4
ACCY,201,36482,Accounting and Accountancy I,1,0,3,1,2,3,4,3,1,0,3,0,4,0,2.09,2
ACCY,201,36484,Accounting and Accountancy I,4,2,7,4,2,1,2,3,1,0,1,0,1,0,1.04,0
ACCY,201,36486,Accounting and Accountancy I,3,5,3,0,4,2,2,3,1,0,2,0,2,0,1.77,1
ACCY,201,36487,Accounting and Accountancy I,5,3,3,4,4,4,2,1,0,0,2,0,0,1,2.13,2
ACCY,201,36489,Accounting and Accountancy I,5,4,3,2,3,4,1,3,1,0,4,0,1,0,2.82,4
ACCY,201,36494,Accounting and Accountancy I,10,6,7,2,5,3,2,0,3,0,3,0,1,0,1.14,0
ACCY,201,36496,Accounting and Accountancy I,7,7,9,3,4,3,2,2,1,0,2,0,4,0,1.99,1
ACCY,201,36499,Accounting and Accountancy I,6,10,3,3,2,1,1,2,2,0,6,0,3,0,1.8,1
ACCY,201,36502,Accounting and Accountancy I,6,7,6,2,2,4,0,2,2,0,4,0,5,1,1.72,1
ACCY,201,36506,Accounting and Accountancy I,3,11,7,4,4,2,3,5,0,0,1,0,1,1,1.18,0
ACCY,201,36509,Accounting and Accountancy I,5,11,5,1,5,4,2,0,2,0,3,0,2,0,1.06,0
ACCY,201,36516,Accounting and Accountancy I,2,6,4,0,2,2,2,1,1,0,2,0,4,0,2.63,3
ACCY,201,36522,Accounting and Accountancy I,2,3,11,4,10,3,4,2,1,0,1,0,0,0,2.11,2
ACCY,201,36526,Accounting and Accountancy I,3,4,8,6,5,5,4,1,1,0,1,0,3,1,1.92,1
ACCY,201,36536,Accounting and Accountancy I,4,9,4,0,4,3,6,2,1,0,2,0,2,0,2.93,4
ACCY,201,36538,Accounting and Accountancy I,3,3,12,3,4,5,3,1,2,0,2,0,2,0,2.94,4
ACCY,201,36543,Accounting and Accountancy I,7,7,12,3,1,4,3,0,1,0,3,0,1,1,3.22,4
ACCY,202,36552,Accounting and Accountancy II,4,3,4,7,8,0,2,3,1,0,1,0,0,1,3.13,4
ACCY,202,36556,Accounting and Accountancy II,4,8,4,13,5,1,6,3,2,0,0,0,0,0,3.19,4
ACCY,202,36560,Accounting and Accountancy II,8,4,5,14,1,0,7,3,1,0,1,0,0,0,3.2,4
ACCY,202,36565,Accounting and Accountancy II,4,8,1,14,8,3,3,1,1,0,0,0,0,0,3.28,4
ACCY,202,36568,Accounting and Accountancy II,5,5,7,14,3,0,4,7,0,0,0,0,1,1,3.14,4
ACCY,202,36574,Accounting and Accountancy II,3,8,6,9,6,0,6,3,1,0,1,0,0,2,3.18,4
ACCY,301,36577,Atg Measurement & Disclosure,0,6,3,5,3,4,2,1,1,0,0,0,0,0,3.19,4
ACCY,301,36581,Atg Measurement & Disclosure,6,5,3,3,5,2,0,1,0,0,0,0,0,0,2.49,2
ACCY,301,36584,Atg Measurement & Disclosure,4,5,1,6,4,2,2,0,0,0,1,0,0,0,2.31,2
ACCY,301,36587,Atg Measurement & Disclosure,0,8,4,5,1,1,3,2,0,1,0,0,0,0,2.25,2
ACCY,301,36590,Atg Measurement & Disclosure,2,3,1,6,8,0,0,0,1,0,0,0,0,0,2.3,2
ACCY,301,36592,Atg Measurement & Disclosure,1,4,5,4,5,3,4,0,0,0,0,0,0,0,2.23,2
ACCY,301,36596,Atg Measurement & Disclosure,2,3,7,3,4,6,0,0,0,0,0,0,0,0,2.35,2
ACCY,301,36598,Atg Measurement & Disclosure,1,7,6,6,2,0,0,0,0,0,1,0,0,0,3.52,4
