,title,price,condition,Screen Size,Color,RAM Size,SSD Capacity,Processor Speed,Brand,Maximum Resolution,Hard Drive Capacity,Storage Type,Processor_Brand,Processor_Series,Processor_Subseries,Processor_Generation,has_GPU,os_type
0,"lenovo thinkpad x1 yoga gen 3 14"" qhd touch 2-in1 i7-8550u 256gb ssd 8gb win 11",220.0,used,14.0,silver,8.0,256.0,1.8,lenovo,2560x1440,256.0,ssd,intel,core,i7,7.0,1,windows
1,chuwi herobook pro celeron n4000 1.10ghz 8gb ram 256gb ssd pc1305580,72.25,used,,missing,8.0,128.0,2.3,chuwi,missing,,ssd,intel,core,i5,5.0,0,missing
2,"eluktronics n870hk 17.3"" i7-7700hq 8gb ram 128gb ssd gtx 1050 ti pc1082571",319.0,used,,missing,8.0,128.0,,eluktronics,missing,,ssd,intel,core,i7,7.0,1,missing
3,dell optiplex 790 intel core i5-2400 3.10ghz 16gb ram 500gb hd pc657132,34.0,used,,missing,16.0,,3.1,dell,missing,500.0,hdd,intel,core,i5,2.0,0,missing
4,dell optiplex 9020 sff intel core i5-4570s 2.90ghz 16gb ram 250gb ssd pc449356,55.0,used,,missing,16.0,250.0,2.9,dell,missing,,ssd,intel,core,i5,4.0,0,missing
5,"tested lenovo thinkpad w550s 15.6"" i7-5500u 16gb ram 256gb ssd quadro k620m çhar",119.0,used,15.6,black,16.0,256.0,2.4,lenovo,1920x1080,256.0,ssd,intel,core,i7,5.0,1,windows
6,hp zbook 17 g5 | intel xeon e-2176m 2.70ghz | 512gb m.2 | 32gb ram | no os,635.0,used,17.3,silver,,,2.7,hp,missing,,missing,intel,xeon,e,2.0,0,no os
7,hp 15-dw3013dx notebook | core i3-1115g4 3.00ghz | 256gb nvme | 8gb ram | no os,135.5,used,15.6,silver,,,3.0,hp,missing,,missing,intel,core,i3,11.0,0,no os
8,hp envy x360 m6-aq103dx | intel core i5-7200u 2.50ghz | 256gb | 12gb ram | no os,137.5,used,15.6,silver,,,2.5,hp,missing,,missing,intel,core,i5,7.0,0,no os
9,hp zbook 15 g3 | intel core i7-6820hq 2.70ghz | 512gb nvme | 16gb ram | no os,152.5,used,15.6,black,,,2.7,hp,missing,,missing,intel,core,i7,6.0,0,no os
10,libreboot thinkpad x200 128gb ssd 2gb ram,229.0,used,12.1,missing,2.0,128.0,,lenovo,missing,128.0,ssd,intel,core,,,0,linux
11,dell latitude e5430 i5-3380m 4xcpu@2.9ghz 8gb ram 120gb ssd win 11 pro(6-29-9),20.5,used,14.0,silver,8.0,120.0,2.9,dell,missing,120.0,ssd,intel,core,i5,3.0,1,windows
12,"dell xps 15 9500 i7-10750h 64gb ram 1tb ssd 15.6"" 4k touchscreen gtx 1650ti",649.0,used,15.6,silver,64.0,1000.0,2.6,dell,3840x2160,64.0,ssd,intel,core,i7,10.0,1,windows
13,"lot of 4 lenovo thinkpad t450s 14"". 2) i7-5600u 2.60ghz. 2) i5-5300u 2.30ghz",185.0,used,14.0,black,8.0,,2.6,lenovo,missing,500.0,hdd,intel,core,i7,5.0,1,windows
14,asus rog zephyrus m16 rtx 3070 ti i9-12900h 40gb ram 1tb ssd,1299.0,used,16.0,missing,40.0,1000.0,,asus,missing,1000.0,ssd,intel,core,i9,12.0,0,windows
15,lenovo thinkpad x1 yoga intel core i7-6500u 2.50ghz 8gb ram 256gb m.2 ssd win 11,133.0,used,14.0,missing,8.0,256.0,2.5,lenovo,1920x1080,,ssd,intel,core,i7,6.0,0,windows
16,hp chromebook 14-db0023dx 2gb,33.0,used,14.0,black,2.0,16.0,,hp,1366x768,4.0,ssd,intel,celeron,d,,0,chrome os
17,dell latitude 7290 core i5 8350u 1.7ghz 8gb ram 128gb ssd 12.5'' no os laptop,102.5,used,12.5,missing,8.0,,1.7,dell,missing,128.0,missing,core,core,i5,8.0,0,no os
18,lenovo thinkpad e490 | i5 1.6ghz | 8gb 256gb-ssd | *read description*,110.0,used,14.0,missing,8.0,256.0,1.6,lenovo,missing,,ssd,intel,core,i5,8.0,1,windows
19,lenovo yoga 7i 16'' 2.5k touchscreen 2-in-1 laptop w/ stylus pen storm grey,400.0,open box,16.0,gray,8.0,512.0,,lenovo,missing,,missing,intel,core,i5,12.0,0,missing
20,"hp probook 640 g1 14"" laptop intel i5-4300m, 8gb ram, 320gb hdd no os *",49.99,used,14.0,missing,8.0,256.0,,hp,missing,320.0,hdd,intel,core,i5,4.0,0,no os
21,good cheap laptop lenovo chromebook ~ with charger,25.0,used,11.0,black,4.0,16.0,1.6,lenovo,1366x768,16.0,emmc,intel,celeron,n,,1,chrome os
22,dell latitude e5570 i7-6820hq 2.7ghz amd radeon r7 m370 no ssd,88.99,used,15.6,missing,8.0,,2.7,dell,1920x1080,,ssd,intel,core,i7,6.0,1,missing
23,lenovo thinkpad t460 240gb ssd i5 windows 10 64bit 8gb 2.40ghz laptop webcam,99.99,used,14.0,missing,8.0,240.0,2.4,lenovo,1920x1080,,ssd,intel,core,i5,,0,windows
24,dell latitude e5470 i7 2.3ghz | 8gb 256gb-ssd | *read*,115.0,used,14.0,gray,8.0,256.0,2.3,dell,missing,256.0,ssd,intel,core,i5,6.0,1,windows
25,lenovo thinkpad e460 | i5 2.3 ghz | 8gb 500gb | *read description*,71.0,used,14.0,black,8.0,500.0,,lenovo,missing,500.0,hdd,intel,core,i5,6.0,1,windows
26,"lenovo ideapad 5 15itl05 15.6"" touch 16gb 512gb ssd core i7-1165g7 2.8ghz win10h",325.0,used,15.6,gray,16.0,512.0,2.8,lenovo,1920x1080,512.0,ssd,intel,core,i7,11.0,1,windows
27,"vaio fe14 14.1"" laptop i7-1165g7 16gb ram 1tb ssd windows 11",250.5,used,14.1,silver,16.0,1000.0,2.8,vaio,1920x1080,1000.0,ssd,intel,core,i7,11.0,1,windows
28,dell latitude e6530 i5-3210m 4xcpu@2.5ghz 4gb ram 120gb ssd win 11 pro(6-29-8),31.0,used,15.6,silver,4.0,120.0,2.5,dell,missing,120.0,ssd,intel,core,i5,3.0,1,windows
29,"15.6"" lenovo g580 laptop",11.5,used,15.6,missing,,,,lenovo,missing,,missing,intel,celeron,b,,0,missing
30,"dell xps 13 9343 intel core i7-5500u 2.4ghz 8gb ram 512gb ssd 13.3"" qhd+ touch",111.5,used,13.3,missing,8.0,512.0,2.4,dell,missing,0.0,ssd,intel,core,i7,5.0,0,no os
31,"toshiba satellite m55 s325 12.3"" (no hd, intel pentium m 740, 1.73ghz, 1gb)",0.01,used,12.3,blue,1.0,0.0,1.73,toshiba,missing,0.0,hdd + ssd,intel,centrino,,,0,no os
32,"hp elitebook 2740p 12.1"" (no hd, good lcd, intel core i5-560m, 2.67ghz, 4gb)",14.0,used,12.1,gray,4.0,0.0,2.67,hp,missing,0.0,hdd,intel,core,i5,5.0,0,no os
